539202,19225
139327,139329
36391,680727
796843,796851
638467,638474
368767,368768
436144,436145
360397,360400
53347,53355
41995,42001
838226,794068
620340,620345
448385,448387
30322,30327
910786,910798
253722,253732
758243,758244
682373,592411
517139,517153
881888,54680
905333,905338
910530,910538
574706,574710
554040,554044
35511,35526
864399,59237
772625,772553
818373,818380
750174,670884
888037,887980
451872,436406
12332,12345
41009,41019
102507,102515
352482,339788
543175,543176
752626,709238
769464,769469
307659,282120
545635,545636
144866,144874
918594,918573
168540,168553
815020,815026
753396,753381
718788,718793
361188,361197
13982,13988
448210,448211
678859,678783
292695,292700
679187,679198
182094,182099
746391,746277
819292,556447
616957,616962
680774,680720
248312,248313
902883,902897
455121,455127
680769,680720
769083,768977
191827,191842
920854,920855
331272,180494
684742,684674
42361,42373
890161,890149
943281,644445
892110,23179
240867,240868
142968,124281
61732,61718
537471,537484
759025,758686
812756,812766
67168,46502
758129,758130
866202,52952
914574,914581
455929,455942
145716,145720
889753,889767
495125,494218
917164,604668
675515,675523
11491,11479
660566,49694
290288,212021
196176,196187
873149,873163
167754,167764
166551,166564
327192,327197
102323,102333
426320,426325
331232,331240
312773,312774
870503,718071
816555,663255
